Order Number,Ship State,Ship Country,order_create_date,shipping_date,delivery_date,g_user_id,dateAndTime,times_ordered
6032364861,FL,US,6/3/2023,6/5/2023,6/12/2023,{06B73C92-3843-4C39-9FBA-089CFEDBE77B},2023-06-08 15:33:00 ET,1
6122364581,VA,US,6/12/2023,6/13/2023,6/20/2023,{06B737AD-8F12-4101-83D1-8E7624DD64CB},2023-06-17 14:51:00 ET,1
6212366503,PA,US,6/21/2023,6/22/2023,6/30/2023,{06B72C27-68F3-44F7-815B-9CDCA0F2CFCE},2023-06-28 12:43:00 ET,1
6242365936,FL,US,6/24/2023,6/25/2023,6/28/2023,{06B6B94A-4949-4FF3-8A98-C2EF922F02CF},2023-06-29 14:29:00 ET,1
7092369017,ME,US,7/9/2023,7/10/2023,7/14/2023,{06B6B335-90F2-45DD-92DC-06ABE65DFDCF},2023-07-13 19:00:00 ET,1
6042367926,MO,US,6/4/2023,6/5/2023,6/15/2023,{06B6AD35-D950-4015-AAD6-5B07A15A5D80},2023-06-21 17:28:00 CT,1
6042366242,LA,US,6/4/2023,6/6/2023,6/16/2023,{06B697D6-D381-42F8-AE90-D670AF69316A},2023-06-10 11:52:00 CT,1
6212365865,TX,US,6/21/2023,6/22/2023,7/5/2023,{06B67D39-14DC-4DAC-9BC0-81E2CC0EEC85},2023-06-28 13:28:00 CT,1
6102363850,MA,US,6/10/2023,6/12/2023,6/20/2023,{06B676DB-4CB9-441B-91C4-7A9A7DF3F0F4},2023-06-16 16:18:00 ET,1
7072367331,NC,US,7/7/2023,7/9/2023,7/14/2023,{06B60DCB-7ADF-46FA-B4A8-28B9736DB218},2023-07-12 11:58:00 ET,2
7072367507,NC,US,7/7/2023,7/9/2023,7/14/2023,{06B60DCB-7ADF-46FA-B4A8-28B9736DB218},2023-07-12 11:58:00 ET,2
7152364883,OR,US,7/15/2023,7/16/2023,7/26/2023,{06B5E39D-8752-4E94-8246-A9A87A91FC98},2023-07-24 10:01:00 PT,1
7092366729,NY,US,7/9/2023,7/10/2023,7/17/2023,{06B5CF29-381D-46F4-925A-51BB5C35B8EA},2023-07-13 08:59:00 ET,1
6152365054,AR,US,6/15/2023,6/19/2023,6/28/2023,{06B55BEB-2C3A-4FB8-B13E-BF3A3464E77B},2023-06-24 11:47:00 CT,1
7072366792,CA,US,7/7/2023,7/9/2023,7/19/2023,{06B53A76-120F-4982-84B1-2761F43EC37A},2023-07-17 12:45:00 PT,2
6032366262,CA,US,6/3/2023,6/5/2023,6/15/2023,{06B53A76-120F-4982-84B1-2761F43EC37A},2023-06-13 11:53:00 PT,2
6252360354,AZ,US,6/25/2023,6/26/2023,7/7/2023,{06B5273F-C004-48EF-A10A-5D577449556D},2023-07-01 14:43:00 MT,1
6082367138,MI,US,6/8/2023,6/12/2023,6/20/2023,{06B51D86-E259-4E98-A48B-188357749F8B},2023-06-15 11:52:00 ET,2
6062367610,MI,US,6/6/2023,6/7/2023,6/15/2023,{06B51D86-E259-4E98-A48B-188357749F8B},2023-06-12 12:37:00 ET,2
6102361095,WI,US,6/10/2023,6/11/2023,6/19/2023,{06B510DB-EC85-4CA3-888C-F434B3AE28A2},2023-06-15 13:33:00 CT,1
6242364884,FL,US,6/24/2023,6/26/2023,7/3/2023,{06B4FC6F-0ECB-4BC0-9AE2-CDE1B36AFC3B},2023-06-29 11:55:00 ET,1
6082364557,NM,US,6/8/2023,6/9/2023,6/16/2023,{06B489CB-A7ED-45D8-97AA-69DB130E11B6},2023-06-13 14:29:00 MT,1
7042352506,TX,US,7/4/2023,7/5/2023,7/10/2023,{06B46E63-8535-4C65-AE70-840FBA0AA30A},7/8/2023 9:53,3
6112360399,TX,US,6/11/2023,6/23/2023,7/10/2023,{06B46E63-8535-4C65-AE70-840FBA0AA30A},2023-06-30 10:43:00 CT,3
6152340033,TX,US,6/15/2023,6/18/2023,6/30/2023,{06B46E63-8535-4C65-AE70-840FBA0AA30A},2023-06-23 10:44:00 CT,3
6152352550,TX,US,6/15/2023,6/16/2023,6/21/2023,{06B46E63-8535-4C65-AE70-840FBA0AA30A},6/20/2023 10:45,3
